FID_1,ProjectNo,Dist,AddMPOName,IDENTIFIER,IDENTIFI_1,DESC_,PROJTYPE,ESTIMPRVAS,ROUTEORDER,TYCOUNTYDI,Routeuniqu,BEGINNINGM,ENDINGMILE,TYROUTENAM,EEC_Intersection,ProjectN_1
116,1,1,Purchase ADD,IP20020002,,Address economic development issues for Fulton County Industrial Park and access issues for high clearance vehicles  between KY 307 and US 51 due to the low clearance railroad bridges located on KY 307 & KY 94.,New Route,Local Roadway Improvements,1,Fulton,038-PF-9999  -000,0,0,Proposed,0,0
34,2,1,Purchase ADD,IP20020002,,Address economic development issues for Fulton County Industrial Park and access issues for high clearance vehicles  between KY 307 and US 51 due to the low clearance railroad bridges located on KY 307 & KY 94.,New Route,Local Roadway Improvements,2,Fulton,038-CS-2094  -000,0,0.38,Existing,-0.115089755,0
93,3,1,Purchase ADD,IP20020002,,Address economic development issues for Fulton County Industrial Park and access issues for high clearance vehicles  between KY 307 and US 51 due to the low clearance railroad bridges located on KY 307 & KY 94.,New Route,Local Roadway Improvements,3,Fulton,038-CR-1013  -000,0,0.062,Existing,0.165572236,0
101,4,1,Purchase ADD,IP20020002,,Address economic development issues for Fulton County Industrial Park and access issues for high clearance vehicles  between KY 307 and US 51 due to the low clearance railroad bridges located on KY 307 & KY 94.,New Route,Local Roadway Improvements,4,Fulton,038-KY-0307  -000,1.383,2.096,Existing,-0.228841011,4
186,5,1,Purchase ADD,IP20020002,,Address economic development issues for Fulton County Industrial Park and access issues for high clearance vehicles  between KY 307 and US 51 due to the low clearance railroad bridges located on KY 307 & KY 94.,New Route,Local Roadway Improvements,5,Fulton,038-US-0051  -000,0.229,0.583,Existing,-0.493283864,5
207,6,1,Purchase ADD,IP20060001,,Increase the intersection turning radius at US 51 & KY 121 in Wickliffe to improve truck access.,Spot Improvement,Improve Intersection,1,Ballard,004-US-0051  -000,3.338,3.4,Existing,2.710693512,6
166,7,1,Purchase ADD,IP20060001,,Increase the intersection turning radius at US 51 & KY 121 in Wickliffe to improve truck access.,Spot Improvement,Improve Intersection,2,Ballard,004-KY-0121  -000,8.639,8.689,Existing,2.710693512,7
417,8,1,Purchase ADD,IP20060004,,"Address condition, safety, congestion and future capacity issues from proposed Barlow eastern bypass to proposed LaCenter southern bypass. (See Segment 4 in April 1998 Advance Planning Study)",Major Widening,2 Lane to 4 Lane Divided - Rural,1,Ballard,004-US-0060  -000,7.14,9.73,Existing,0.245900194,8
316,9,1,Purchase ADD,IP20060007,,Improve geometric deficiencies and truck mobility at the intersection with KY286 in Wickliffe.,Reconstruction,Improve Intersection,1,Ballard,004-KY-0121  -000,8.262,8.369,Existing,-0.356177772,9
274,10,1,Purchase ADD,IP20060007,,Improve geometric deficiencies and truck mobility at the intersection with KY286 in Wickliffe.,Reconstruction,Improve Intersection,2,Ballard,004-KY-0286  -000,0,0.097,Existing,-0.289833279,10
333,11,1,Purchase ADD,IP20060008,,Correct intersection geometrics and improve safety on KY 286 at the intersection with Hershel Jones Road/N. Ballard Church Road near Wickliffe.,Safety-Haz-Elm,Improve Intersection,1,Ballard,004-KY-0286  -000,4,4.53,Existing,0.92116692,11
401,12,1,Purchase ADD,IP20060008,,Correct intersection geometrics and improve safety on KY 286 at the intersection with Hershel Jones Road/N. Ballard Church Road near Wickliffe.,Safety-Haz-Elm,Improve Intersection,2,Ballard,004-CR-1209  -000,0,0.1,Existing,0.92116692,0
150,13,1,Purchase ADD,IP20060008,,Correct intersection geometrics and improve safety on KY 286 at the intersection with Hershel Jones Road/N. Ballard Church Road near Wickliffe.,Safety-Haz-Elm,Improve Intersection,3,Ballard,004-CR-1212  -000,3.578,3.619,Existing,0.92116692,0
79,14,1,Purchase ADD,IP20060012,,"Correct substandard roadway geometrics, to improve traffic flow, safety and access management issues from KY 1377 to Truman Creek Bridge in Bardwell",Reconstruction,Modernize Roadway-Rural,1,Carlisle,020-US-0051  -000,6.134,8.259,Existing,-7.649491987,14
139,15,1,Purchase ADD,IP20060015,,"Improve safety, mobility and connectivity, and address geometric deficiencies along US 62 between Hobbs Rd / Boswell Rd to KY 307.",Reconstruction,Modernize Roadway-Rural,1,Carlisle,020-US-0062  -000,8.09,8.932,Existing,-0.638338202,15
228,16,1,Purchase ADD,IP20060016,,Improve roadway geometrics at Y-intersection of US 62 & KY 307 to provide adequate sight distance and address safety concerns.,Reconstruction,Improve Intersection,1,Carlisle,020-US-0062  -000,8.932,9.127,Existing,-1.539584379,16
75,17,1,Purchase ADD,IP20060016,,Improve roadway geometrics at Y-intersection of US 62 & KY 307 to provide adequate sight distance and address safety concerns.,Reconstruction,Improve Intersection,2,Carlisle,020-KY-0307  -000,9.181,9.254,Existing,-2.013552371,17
348,18,1,Purchase ADD,IP20060016,,Improve roadway geometrics at Y-intersection of US 62 & KY 307 to provide adequate sight distance and address safety concerns.,Reconstruction,Improve Intersection,3,Carlisle,020-KY-0307  -024,0,0.047,Existing,-0.886929207,0
311,19,1,Purchase ADD,IP20060017,,"Correct substandard roadway geometrics on US 62 from .173 miles east of Shelby Rd / Hayes Rd to KY 1820 to address access safety, and regional connectivity issues.",Reconstruction,Modernize Roadway-Rural,1,Carlisle,020-US-0062  -000,9.3,12.6,Existing,-1.816712282,19
411,20,1,Purchase ADD,IP20060030,,"Address geometric alignment issues, access issues and future capacity issues at the US 45 / KY 307 intersection in Fulton.",Reconstruction,Improve Intersection,1,Fulton,038-US-0045  -000,1.696,1.868,Existing,-4.861276516,20
131,21,1,Purchase ADD,IP20060038,,"Address economic development, and truck access issues to the Fulton Industrial Park from the Purchase Parkway to Holland Lane in Fulton.",Reconstruction,Modernize Roadway-Rural,1,Fulton,038-KY-0307  -000,1.232,2.096,Existing,0.7927444,21
96,22,1,Purchase ADD,IP20060045,,"Address safety, congestion and access issues from East Farthing Street to Charles Drive in Mayfield.",Minor Widening,Modernize Roadway-Rural,1,Graves,042-KY-0303  -000,16.034,16.807,Existing,37.52322982,22
10,23,1,Purchase ADD,IP20060059,,"Address issues with service, congestion and safety from US 45 to I-24 in Paducah. See March, 2002 Paducah-McCracken County Transportation Study.",Minor Widening,Modernize Roadway-Rural,1,McCracken,073-US-0062  -000,11.837,12.881,Existing,-1.261255504,23
294,24,1,Purchase ADD,IP20060065,,Correct geometric alignment deficiencies and address access and traffic flow issues at US 62 / US 641 / KY 282 interchange.,Reconstruction,Innovative Interchange,1,Marshall,079-US-0062  -000,10.65,11.15,Existing,-2.397964425,24
113,25,1,Purchase ADD,IP20060065,,Correct geometric alignment deficiencies and address access and traffic flow issues at US 62 / US 641 / KY 282 interchange.,Reconstruction,Innovative Interchange,2,Marshall,079-KY-0282  -000,5.335,5.467,Existing,0.81654898,25
29,26,1,Purchase ADD,IP20060065,,Correct geometric alignment deficiencies and address access and traffic flow issues at US 62 / US 641 / KY 282 interchange.,Reconstruction,Innovative Interchange,3,Marshall,079-KY-0282  -010,5.33,5.467,Existing,0,0
58,27,1,Purchase ADD,IP20060065,,Correct geometric alignment deficiencies and address access and traffic flow issues at US 62 / US 641 / KY 282 interchange.,Reconstruction,Innovative Interchange,4,Marshall,079-US-0641  -000,19.132,19.25,Existing,0,27
302,28,1,Purchase ADD,IP20060065,,Correct geometric alignment deficiencies and address access and traffic flow issues at US 62 / US 641 / KY 282 interchange.,Reconstruction,Innovative Interchange,5,Marshall,079-US-0062  -111,0,0.292,Existing,-2.426620397,0
196,29,1,Purchase ADD,IP20060065,,Correct geometric alignment deficiencies and address access and traffic flow issues at US 62 / US 641 / KY 282 interchange.,Reconstruction,Innovative Interchange,6,Marshall,079-US-0062  -121,0,0.329,Existing,-2.788060148,0
397,30,1,Purchase ADD,IP20060065,,Correct geometric alignment deficiencies and address access and traffic flow issues at US 62 / US 641 / KY 282 interchange.,Reconstruction,Innovative Interchange,7,Marshall,079-US-0062  -131,0,0.291,Existing,1.561481329,0
145,31,1,Purchase ADD,IP20060065,,Correct geometric alignment deficiencies and address access and traffic flow issues at US 62 / US 641 / KY 282 interchange.,Reconstruction,Innovative Interchange,8,Marshall,079-US-0062  -141,0,0.246,Existing,0.39170309,0
202,32,1,Purchase ADD,IP20060067,,Improve safety and address geometric deficiencies at the Y-intersection with KY95.,Reconstruction,Improve Intersection,1,Marshall,079-US-0068  -000,7.745,7.845,Existing,3.420981652,32
161,33,1,Purchase ADD,IP20060067,,Improve safety and address geometric deficiencies at the Y-intersection with KY95.,Reconstruction,Improve Intersection,2,Marshall,079-KY-0095  -000,0,0.053,Existing,3.420981652,33
41,34,1,Purchase ADD,IP20070256,,"Address congestion, geometric deficiencies, and access issues from KY121 to Utterback Road in Murray.",Minor Widening,Modernize Roadway-Rural,1,Calloway,018-CS-1047  -000,0,1.079,Existing,2.587689021,34
247,35,1,Purchase ADD,IP20080010,,Correct roadway geometrics and address congestion and safety issues at KY 1550 (Wisewell Road) and Johnny Robertson Road near Murray.,Reconstruction,Improve Intersection,1,Calloway,018-KY-1550  -000,4.5,4.6,Existing,-0.247280233,35
392,36,1,Purchase ADD,IP20080010,,Correct roadway geometrics and address congestion and safety issues at KY 1550 (Wisewell Road) and Johnny Robertson Road near Murray.,Reconstruction,Improve Intersection,2,Calloway,018-CR-1363  -000,1.434,1.445,Existing,-0.247280233,0
214,37,1,Purchase ADD,IP20080010,,Correct roadway geometrics and address congestion and safety issues at KY 1550 (Wisewell Road) and Johnny Robertson Road near Murray.,Reconstruction,Improve Intersection,3,Calloway,018-CS-1292  -000,0,0.012,Existing,-0.247280233,0
328,38,1,Purchase ADD,IP20080015,,Correct geometric deficiencies and address safety issues and freight access from Tennessee State Line to KY 166.,Reconstruction,Modernize Roadway-Rural,1,Fulton,038-KY-0125  -000,0,1.659,Existing,1.22317109,38
364,39,1,Purchase ADD,IP20080016,,Correct geometric deficiencies and address safety and freight access issues from KY 166 to KY 1099 in Hickman.,Reconstruction,Modernize Roadway-Rural,1,Fulton,038-KY-0125  -000,1.659,5.386,Existing,-1.437919595,39
181,40,1,Purchase ADD,IP20080021,,Address geometric deficiencies and drainage issues along KY58 between Tice Road to KY121 Bypass.,Drainage Improvement,Maintenance Improvement,1,Graves,042-KY-0058  -000,6.116,6.444,Existing,-32.1089198,40
241,41,1,Purchase ADD,IP20080024,,"Address safety, congestion and future capacity issues to accommodate increase truck traffic from .041 miles south of Harris Lane to KY 945.",Reconstruction,Modernize Roadway-Rural,1,Graves,042-KY-0121  -000,11,14.024,Existing,-2.053965136,41
263,42,1,Purchase ADD,IP20080027,,Correct geometric deficiencies and address safety and truck access issues from KY 58 to KY 483.,Reconstruction,Modernize Roadway-Rural,1,Graves,042-KY-0131  -000,0,4.555,Existing,1.998108947,42
173,43,1,Purchase ADD,IP20080031,,"Improve safety, access, and regional connectivity, and address geometric deficiencies from Hickman C/L to Cane Creek Bridge.",Reconstruction,Modernize Roadway-Rural,1,Hickman,053-US-0051  -000,0,2.4,Existing,-0.530082153,43
258,44,1,Purchase ADD,IP20080032,,"Correct geometric deficiencies, and improve safety, access and regional connectivity from Bayou De Chein Bridge to Martin Road.",Reconstruction,Modernize Roadway-Rural,1,Hickman,053-US-0051  -000,4.508,6.65,Existing,0.342758667,44
237,45,1,Purchase ADD,IP20080037,,"Improve safety, truck mobility, and geometric deficiencies at the ICR Railroad Overpass.",Reconstruction,Improve Railroad Crossing,1,Hickman,053-KY-0307  -000,0.85,1.05,Existing,-0.158059579,45
71,46,1,Purchase ADD,IP20080041,,"Improve safety, truck mobility, and access and address geometric deficiencies from Graves C/L to KY284 in Reidland.",Reconstruction,Modernize Roadway-Rural,1,McCracken,073-KY-0131  -000,0,3.603,Existing,3.727793675,46
156,47,1,Purchase ADD,IP20080044,,"Correct geometric deficiencies and address safety, service and congestion issues from the Clarks River Bridge in Benton to Benton Baptist Temple Road / Happy Hollow Road.",Reconstruction,Modernize Roadway-Rural,1,Marshall,079-US-0641  -000,10.002,11.147,Existing,-1.813902786,47
360,48,1,Purchase ADD,IP20080045,,"Correct geometric deficiencies and address safety, service, and congestion issues from Benton Baptist Temple Road / Happy Hollow Rd to US 68 in Draffenville.",Reconstruction,Modernize Roadway-Rural,1,Marshall,079-US-0641  -000,11.147,12.862,Existing,-3.327121247,48
7,49,1,Purchase ADD,IP20110174,,"Address safety, service, and access issues from Purchase Parkway to US 641 south in Draffenville.",Spot Improvement,Modernize Roadway-Rural,1,Marshall,079-US-0068  -000,9.415,10.032,Existing,53.89923307,49
223,50,1,Purchase ADD,IP20120005,,Improve intersection geometric deficiencies (lack of turning radius) to address truck access issues at Clayton Street and US 51 in Clinton.,Spot Improvement,Improve Intersection,1,Hickman,053-US-0051  -000,7.2,7.3,Existing,2.139393785,50
108,51,1,Purchase ADD,IP20120005,,Improve intersection geometric deficiencies (lack of turning radius) to address truck access issues at Clayton Street and US 51 in Clinton.,Spot Improvement,Improve Intersection,2,Hickman,053-CS-1043  -000,0.025,0.074,Existing,2.139393785,0
177,52,1,Purchase ADD,IP20120007,,The purpose of this project is to address improvements in Bardwell from US 51 to KY 1372 by upgrading to an urban section with sidewalks and turn lanes.,Reconstruction,Modernize Roadway-Rural,1,Carlisle,020-US-0062  -000,0,1.062,Existing,-1.078732462,52
19,53,1,Purchase ADD,IP20120011,,Widen from KY 1286 to Village Square Drive to improve level of service and safety. See 2013 Planning Study (Priority 6).,Minor Widening,Modernize Roadway-Rural,1,McCracken,073-KY-0998  -000,1.718,2.17,Existing,2.945811503,53
68,54,1,Purchase ADD,IP20120012,,Widen from New Holt Road to KY 998 to improve level of service and safety. See 2013 Planning Study (Priority 5).,Minor Widening,Modernize Roadway-Rural,1,McCracken,073-KY-1286  -000,6.423,6.916,Existing,-28.69132679,54
407,55,1,Purchase ADD,IP20120084,,"Improve mobility, address geometric deficiencies, and reduce congestion along Brinn Rd (CR1401) between KY 80 and  Utterback Road (CR1552) in Murray.",Minor Widening,Modernize Roadway-Rural,1,Calloway,018-CR-1401  -000,0.811,1.132,Existing,4.471698758,55
281,56,1,Purchase ADD,IP20120084,,"Improve mobility, address geometric deficiencies, and reduce congestion along Brinn Rd (CR1401) between KY 80 and  Utterback Road (CR1552) in Murray.",Minor Widening,Modernize Roadway-Rural,2,Calloway,018-CR-1401  -000,1.132,1.837,Existing,0,56
344,57,1,Purchase ADD,IP20120084,,"Improve mobility, address geometric deficiencies, and reduce congestion along Brinn Rd (CR1401) between KY 80 and  Utterback Road (CR1552) in Murray.",Minor Widening,Modernize Roadway-Rural,3,Calloway,018-CS-1354  -000,0,0.197,Existing,0,57
324,58,1,Purchase ADD,IP20140030,,Address geometric alignment and potential safety issues to KY 497 from KY 94 to the barge terminal entrance on KY Lake to improve access for truck traffic.,Minor Widening,Modernize Roadway-Rural,1,Calloway,018-KY-0497  -000,0,2.635,Existing,-0.40719649,58
25,59,1,Purchase ADD,IP20140031,1-398,IMPROVE ACCESS AND REDUCE CONGESTION ON US-62 FROM KY-95 TO THE EXISTING FOUR-LANE HIGHWAY AT LONE VALLEY RD NEAR I-24 INTERCHANGE AND FUTURE I-69 CONNECTION.,MAJOR WIDENING(O),2 Lane to 4 Lane Divided - Rural,1,Marshall,079-US-0062  -000,7.2,8.497,Existing,19.92529413,59
338,60,1,Purchase ADD,IP20150134,Jan-53,SAFETY IMPROVEMENT AT INTERSECTION OF KY-1099 AND KY-125. (14CCN)(18CCN),SAFETY(P),Improve Intersection,1,Fulton,038-KY-1099  -000,2.25,2.288,Existing,-3.062526962,60
379,61,1,Purchase ADD,IP20150134,Jan-53,SAFETY IMPROVEMENT AT INTERSECTION OF KY-1099 AND KY-125. (14CCN)(18CCN),SAFETY(P),Improve Intersection,2,Fulton,038-KY-0125  -000,5.372,5.406,Existing,-3.062526962,61
126,62,1,Purchase ADD,IP20150166,2-Jan,"CITY OF MURRAY BUSINESS LOOP FROM GLENDALE TO INDUSTRIAL ROAD. (SEE 1-120 FOR D, R, & U FUNDING)(08CCN)(10CCR)(LET BY CITY)",NEW ROUTE(O),Construct Road in New Location,1,Calloway,018-PF-9999  -000,0,0,Proposed,0,0
192,63,1,Purchase ADD,IP20150166,2-Jan,"CITY OF MURRAY BUSINESS LOOP FROM GLENDALE TO INDUSTRIAL ROAD. (SEE 1-120 FOR D, R, & U FUNDING)(08CCN)(10CCR)(LET BY CITY)",NEW ROUTE(O),Construct Road in New Location,2,Calloway,018-US-0641  -000,0.626,1.678,Impacted,0.564926194,63
85,64,1,Purchase ADD,IP20150168,Jan-51,CONSTRUCT A NEW IMPROVEMENT ALLOWING FOR AN OVERPASS FOR PEDESTRIANS CROSSING 16TH STREET GOING TO THE OTHER SIDE OF CAMPUS. MURRAY STATE AND THE CITY ARE IN AGREEMENT WITH THE NEED OF THE IMPROVEMENT. (14CCN) (16CCR),SAFETY(P),Other Improvement Types,1,Calloway,018-CS-1047  -000,1.17,1.687,Existing,-34.30866158,64
307,65,1,Purchase ADD,IP20150239,1-1115.10 / 1-1115.20,RELOCATION AND MINOR WIDENING OF US-60 FROM CLARKS RIVER TO US-62 JCT.(10CCR)(14CCR)(LET W/ 1-1115.20)(16CCR),RELOCATION(O),Modernize Roadway-Rural,1,McCracken,073-US-0060  -000,18.65,20.1,Existing,-75.00665749,65
267,66,1,Purchase ADD,IP20150286,1-1115.20,RELOCATION OF US-62 FROM US-60 DEPARTURE TO KY-1887 (PARK ROAD).(10CCR)(12CCR)(LET W/ 1-1115.10)(16CCR),RELOCATION(O),Modernize Roadway-Rural,1,McCracken,073-US-0062  -000,12.881,13.651,Existing,-51.26281259,66
255,67,1,Purchase ADD,IP20150351,2-Jan,"NEW ACCESS ROAD FROM KY-305 NEAR KY-998, EXTENDING WEST TO THE OHIO RIVER MEGAPARK. (2-LANE INITIAL, 4-LANE ULTIMATE)(12CCN)(14CCR)(18CCN)",NEW ROUTE(O),Construct Road in New Location,1,McCracken,073-KY-0305  -000,6.53,8.348,Existing,18.81672983,67
352,68,1,Purchase ADD,IP20150351,2-Jan,"NEW ACCESS ROAD FROM KY-305 NEAR KY-998, EXTENDING WEST TO THE OHIO RIVER MEGAPARK. (2-LANE INITIAL, 4-LANE ULTIMATE)(12CCN)(14CCR)(18CCN)",NEW ROUTE(O),Construct Road in New Location,2,McCracken,073-PF-9999  -000,0,0,Proposed,0,0
416,69,1,Pennyrile ADD,IP20150440,1-330,PADUCAH-HENDERSON; RELOCATE US-60 FROM EAST OF THE TENNESSEE RIVER BRIDGE TO EAST OF RUDD-SPEES ROAD (00CCR)(12CCR)(14CCR),RELOCATION(O),2 Lane to 4 Lane Divided - Rural,1,Livingston,070-US-0060  -000,0.875,4.2,Existing,-15.34169769,69
208,70,1,Purchase ADD,IP20160023,Jan-52,IMPROVE N 16TH STREET FROM KY 1327 (5 POINTS) TO KY 121. (16CCN),SAFETY(P),Modernize Roadway-Rural,1,Calloway,018-KY-0748  -000,0,0.307,Existing,-9.766384366,70
152,71,1,Purchase ADD,IP20160023,Jan-52,IMPROVE N 16TH STREET FROM KY 1327 (5 POINTS) TO KY 121. (16CCN),SAFETY(P),Modernize Roadway-Rural,999,Calloway,018-CS-1047  -000,1.079,1.179,Approach,3.664174415,71
103,72,1,Purchase ADD,IP20160023,Jan-52,IMPROVE N 16TH STREET FROM KY 1327 (5 POINTS) TO KY 121. (16CCN),SAFETY(P),Modernize Roadway-Rural,999,Calloway,018-CS-1047  -000,1.179,1.244,Approach,-10.56491214,72
168,73,1,Purchase ADD,IP20160023,Jan-52,IMPROVE N 16TH STREET FROM KY 1327 (5 POINTS) TO KY 121. (16CCN),SAFETY(P),Modernize Roadway-Rural,999,Calloway,018-KY-0774  -000,0.451,0.483,Approach,-5.571712073,73
31,74,1,Purchase ADD,IP20160023,Jan-52,IMPROVE N 16TH STREET FROM KY 1327 (5 POINTS) TO KY 121. (16CCN),SAFETY(P),Modernize Roadway-Rural,999,Calloway,018-KY-1327  -000,1.478,1.5,Approach,-5.571712073,74
90,75,1,Purchase ADD,IP20160023,Jan-52,IMPROVE N 16TH STREET FROM KY 1327 (5 POINTS) TO KY 121. (16CCN),SAFETY(P),Modernize Roadway-Rural,999,Calloway,018-KY-1327  -000,1.5,1.583,Approach,-4.600000094,75
385,76,1,Pennyrile ADD,IP20160149,Jan-51,REALIGN KY 124 APPROACH TO KY 139 TO IMPROVE INTERSECTION ANGLE AND SIGHT DISTANCE. (16CCN)(18CCN),AIR QUALITY(P),Improve Intersection,1,Trigg,111-KY-0139  -000,17.8,17.95,Existing,0.456139919,76
233,77,1,Pennyrile ADD,IP20160149,Jan-51,REALIGN KY 124 APPROACH TO KY 139 TO IMPROVE INTERSECTION ANGLE AND SIGHT DISTANCE. (16CCN)(18CCN),AIR QUALITY(P),Improve Intersection,2,Trigg,111-PF-9999  -000,0,0,Proposed,0,0
371,78,1,Purchase ADD,IP20170075,,"Address condition, access and future congestion issues from approx 1 mile north of Wickliffe to Ohio River Bridge.(Section L - 1993 Scoping Study)",Relocation,2 Lane to 4 Lane Divided - Rural,1,Ballard,004-US-0051  -000,4.644,7.327,Existing,-0.553095978,78
304,79,1,Purchase ADD,IP20170075,,"Address condition, access and future congestion issues from approx 1 mile north of Wickliffe to Ohio River Bridge.(Section L - 1993 Scoping Study)",Relocation,2 Lane to 4 Lane Divided - Rural,2,Ballard,004-PF-9999  -000,0,0,Proposed,0,0
204,80,1,Purchase ADD,IP20180073,,Upgrade/Widen KY 121 bypass in Mayfield to four lanes.,Major Widening,,1,Graves,042-KY-0121  -000,5.499,8.938,Existing,-42.2306075,80
286,81,1,Purchase ADD,IP20190023,,Reconstruct intersection of US 641 S and KY 58.,Spot Improvement,,1,Marshall,079-KY-0058  -000,8.136,8.236,Existing,25.98379192,81
64,82,1,Purchase ADD,IP20190023,,Reconstruct intersection of US 641 S and KY 58.,Spot Improvement,,999,Marshall,079-US-0641  -000,2.797,2.897,Approach,0,0
403,83,1,Purchase ADD,IP20190023,,Reconstruct intersection of US 641 S and KY 58.,Spot Improvement,,999,Marshall,079-US-0641  -000,2.897,2.989,Approach,0,0
265,84,1,Purchase ADD,IP20190023,,Reconstruct intersection of US 641 S and KY 58.,Spot Improvement,,999,Marshall,079-US-0641  -010,2.799,2.899,Approach,0,0
12,85,1,Purchase ADD,IP20190023,,Reconstruct intersection of US 641 S and KY 58.,Spot Improvement,,999,Marshall,079-US-0641  -010,2.899,2.989,Approach,0,0
419,86,1,Purchase ADD,IP20190049,,Increase the directional capacity of the roadway during the daily peak travel periods.,Transportation Study,,1,McCracken,073-US-0045  -000,6.338,9.203,Existing,50.44782104,86
355,87,1,Purchase ADD,IP20190050,,"Widen from KY 1286 (Friendship Road) to US 62 to improve mobility, safety and address geometric deficiencies.",Reconstruction,,1,McCracken,073-KY-0998  -000,0,1.718,Existing,-1.603951398,87
276,88,1,Purchase ADD,IP20190054,,"Improve safety, access, geometric deficiencies and economic development issues from Ezell Lane to Clayton Street",Reconstruction,,1,Hickman,053-US-0051  -000,6.866,7.264,Existing,-0.797255805,88
253,89,1,Purchase ADD,IP20190054,,"Improve safety, access, geometric deficiencies and economic development issues from Ezell Lane to Clayton Street",Reconstruction,,999,Hickman,053-CS-1043  -000,0.004,0.074,Approach,2.139393785,0
47,90,1,Purchase ADD,IP20190054,,"Improve safety, access, geometric deficiencies and economic development issues from Ezell Lane to Clayton Street",Reconstruction,,999,Hickman,053-CS-1044  -000,0,0.125,Approach,0.113444504,0
335,91,1,Purchase ADD,IP20190054,,"Improve safety, access, geometric deficiencies and economic development issues from Ezell Lane to Clayton Street",Reconstruction,,999,Hickman,053-KY-0780  -000,0,0.172,Approach,-2.206202199,91
220,92,1,Purchase ADD,IP20190056,,Improve safety and roadway geometrics at intersection with E Tucker/W Tucker Road.,Reconstruction,,1,Graves,042-KY-0303  -000,14.7,14.9,Existing,1.2459185,92
81,93,1,Purchase ADD,IP20190057,,Correct roadway geometrics and address congestion and safety issues at KY 94 and KY 1660 (Johnny Robertson Road) near Murray.,Spot Improvement,,1,Calloway,018-KY-0094  -000,7.598,7.798,Existing,-2.901059532,93
3,94,1,Purchase ADD,IP20190057,,Correct roadway geometrics and address congestion and safety issues at KY 94 and KY 1660 (Johnny Robertson Road) near Murray.,Spot Improvement,,999,Calloway,018-CR-1363  -000,0,0.1,Approach,-2.901059532,0
174,95,1,Purchase ADD,IP20190057,,Correct roadway geometrics and address congestion and safety issues at KY 94 and KY 1660 (Johnny Robertson Road) near Murray.,Spot Improvement,,999,Calloway,018-KY-1660  -000,0,0.1,Approach,-2.901059532,95
133,96,2,Evansville-Henderson MPO,IP20000003,,Reduce congestion and improve the safety and mobility of the interchange of US 41 and US 60 in Henderson.,New Interchange,Other Improvement Types,1,Henderson,051-US-0041  -000,15.883,16.083,Existing,-2.349245096,96
52,97,2,Green River ADD,IP20000007,,"MAJOR WIDENING FROM PROPOSED WAVERLY BYPASS TO PROPOSED CORYDON BYPASS. SEE SEGMENT 28 IN APRIL, 1998 ADVANCE PLANNING STUDY.",Major Widening,2 Lane to 4 Lane Divided - Rural,1,Union,113-US-0060  -000,23.86,26.069,Existing,-0.655679108,97
318,98,2,Evansville-Henderson MPO,IP20040010,,Widen Green Street to improve safety and level of service throughout the corridor.,Major Widening,Major Widening-Urban Streets,1,Henderson,051-US-0041  -000,13.235,17.397,Existing,-51.06198,98
198,99,2,Pennyrile ADD,IP20040012,,"Address congestion from North Drive to Hospital Drive  in Madisonville, by majoring widening and replacing the super elevated bridge over the CSX railroad from MP 16.63 to MP 16.98",Minor Widening,Other Improvement Types,1,Hopkins,054-US-0041  -000,16.634,16.989,Existing,-34.45918852,99
366,100,2,Pennyrile ADD,IP20060080,2-899,ADDRESS CONGESTION AND MOBILITY OF US 68 FROM KY 91 TO KY 1007 IN HOPKINSVILLE. (18CCN),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Christian,024-US-0068  -000,9.221,10.137,Existing,31.73536763,100
115,101,2,Pennyrile ADD,IP20060087,2-227,RECONSTRUCT KY 1007 FROM US 68 TO SANDERSON ROAD IN HOPKINSVILLE.(12CCR)(14CCR)(16CCR)(18CCN),RECONSTRUCTION(O),Install Two-way Left Turn Lane,1,Christian,024-KY-1007  -000,0.785,2.509,Existing,15.03753298,101
183,102,2,Green River ADD,IP20060089,,Address safety concerns of KY-69 from KY-144 to US-60 at Hawesville.,Reconstruction,Modernize Roadway-Rural,1,Hancock,046-KY-0069  -000,4.627,13.08,Existing,0.322303654,102
249,103,2,Green River ADD,IP20060091,,Address safety concerns of the KY-69 and B. Rice Road intersection to provide for better sight distance.,Safety-Haz-Elm,Improve Intersection,1,Hancock,046-KY-0069  -000,8.903,9.193,Existing,-0.105249865,103
163,104,2,Green River ADD,IP20060093,,Address safety and condition concerns of KY-69 near Tick Ridge Rd.,Safety-Haz-Elm,Modernize Roadway-Rural,1,Hancock,046-KY-0069  -000,12,13,Existing,-0.59660518,104
330,105,2,Green River ADD,IP20060094,,Address safety concerns on KY 271 from KY 1847 to US 60 in Hancock County,Minor Widening,Modernize Roadway-Rural,1,Hancock,046-KY-0271  -000,3.161,4.581,Existing,4.28137107,105
282,106,2,Green River ADD,IP20060095,,Address safety concerns of KY 3543 (formerly KY 271) from US 60 to KY 334 in Hancock County,Minor Widening,Other Improvement Types,1,Hancock,046-KY-3543  -000,0,1.405,Existing,0.14634681,106
350,107,2,Green River ADD,IP20060096,,Address safety concerns of the intersection of KY 2181 and Ed Brown Road in Hancock County.,Safety-Haz-Elm,Improve Intersection,1,Hancock,046-KY-2181  -000,2.724,2.824,Existing,-0.022811292,107
77,108,2,Pennyrile ADD,IP20060101,,Reconstruct KY 1069 from US 41A to 0.2 miles north of Brown Badgett Loop intersection near Hanson.,Reconstruction,Modernize Roadway-Rural,1,Hopkins,054-KY-1069  -000,0,1.8,Existing,0.764055288,108
